date,pre,hum,tem,ven,occ
2020-05-14 21:05:00,94270.77,54.49,30.99,1.0,L
2020-05-14 21:10:00,94270.25,54.4,31.0,1.0,L
2020-05-14 21:15:00,94268.28,54.83,31.04,1.0,L
2020-05-14 21:20:00,94278.38,54.92,30.99,1.0,L
2020-05-14 21:25:00,94268.48,55.25,30.91,1.0,M
2020-05-14 21:30:00,94276.06,55.58,30.89,1.0,L
2020-05-14 21:35:00,94277.91,55.58,30.91,1.0,L
2020-05-14 21:40:00,94281.58,55.84,30.94,1.0,L
2020-05-14 21:45:00,94280.64,55.88,30.94,1.0,L
2020-05-14 21:50:00,94288.23,56.17,30.9,1.0,L
2020-05-14 21:55:00,94288.45,56.11,30.94,1.0,L
2020-05-14 22:00:00,94295.47,56.11,30.94,1.0,L
2020-05-14 22:05:00,94298.84,56.06,30.94,1.0,L
2020-05-14 22:10:00,94303.63,56.11,30.93,1.0,L
2020-05-14 22:15:00,94306.11,56.18,30.92,1.0,L
2020-05-14 22:20:00,94311.45,56.12,30.92,1.0,L
2020-05-14 22:25:00,94310.33,56.34,30.89,1.0,L
2020-05-14 22:30:00,94308.73,56.31,30.88,1.0,L
2020-05-14 22:35:00,94316.14,56.41,30.87,1.0,L
2020-05-14 22:40:00,94327.81,56.56,30.84,1.0,L
2020-05-14 22:45:00,94329.14,56.54,30.89,1.0,L
2020-05-14 22:50:00,94332.27,56.38,30.91,1.0,L
2020-05-14 22:55:00,94338.98,56.33,30.92,1.0,L
2020-05-14 23:00:00,94334.7,56.36,30.93,1.0,M
2020-05-14 23:05:00,94336.97,56.42,30.96,1.0,M
2020-05-14 23:10:00,94344.75,56.92,30.98,1.0,M
2020-05-14 23:15:00,94350.08,57.31,31.05,1.0,M
2020-05-14 23:20:00,94354.12,58.7,31.12,1.0,M
2020-05-14 23:25:00,94362.55,59.31,31.05,1.0,H
2020-05-14 23:30:00,94356.5,59.31,30.97,2.0,H
2020-05-14 23:35:00,94361.31,59.18,31.04,2.0,H
2020-05-14 23:40:00,94367.8,58.4,31.04,2.0,H
2020-05-14 23:45:00,94373.0,57.96,30.98,2.0,H
2020-05-14 23:50:00,94376.66,58.13,30.91,2.0,H
2020-05-14 23:55:00,94371.19,58.2,30.93,2.0,H
2020-05-15 00:00:00,94370.42,58.81,30.98,2.0,H
2020-05-15 00:05:00,94366.61,58.98,30.9,2.0,H
2020-05-15 00:10:00,94364.44,59.18,30.82,2.0,H
2020-05-15 00:15:00,94354.86,59.55,30.72,2.0,M
2020-05-15 00:20:00,94353.02,59.0,30.9,2.0,M
2020-05-15 00:25:00,94353.58,60.01,30.51,2.0,M
2020-05-15 00:30:00,94342.81,60.47,30.44,2.0,M
2020-05-15 00:35:00,94338.79,60.89,30.33,2.0,M
2020-05-15 00:40:00,94343.29,60.6,30.37,2.0,M
2020-05-15 00:45:00,94341.41,60.75,30.3,2.0,M
2020-05-15 00:50:00,94333.89,61.2,30.34,2.0,M
2020-05-15 00:55:00,94329.75,61.25,30.46,2.0,M
2020-05-15 01:00:00,94331.26,60.95,30.56,1.0,M
2020-05-24 11:45:00,94262.1,53.7,31.57,2.0,H
2020-05-24 11:50:00,94258.41,53.79,31.58,2.0,H
2020-05-24 11:55:00,94257.87,53.83,31.65,2.0,H
2020-05-24 12:00:00,94255.58,53.91,31.64,2.0,M
2020-05-24 12:05:00,94258.55,53.66,31.66,2.0,M
2020-05-24 12:10:00,94256.98,53.66,31.65,2.0,M
2020-05-24 12:15:00,94251.36,53.57,31.54,2.0,M
2020-05-24 12:20:00,94249.7,53.32,31.46,2.0,M
2020-05-24 12:25:00,94260.36,53.02,31.42,2.0,M
2020-05-24 12:30:00,94262.92,52.77,31.38,2.0,M
2020-05-24 12:35:00,94261.52,52.95,31.4,2.0,M
2020-05-24 12:40:00,94247.78,53.51,31.6,2.0,M
2020-05-24 12:45:00,94243.12,53.89,31.65,2.0,M
2020-05-24 12:50:00,94238.57,53.71,31.72,2.0,L
2020-05-24 12:55:00,94241.78,52.85,31.85,2.0,L
2020-05-24 13:00:00,94234.14,52.53,32.0,2.0,L
2020-05-24 13:05:00,94233.96,52.83,32.03,2.0,L
2020-05-25 15:45:00,93951.84,53.34,32.03,1.0,M
2020-05-25 15:50:00,93944.17,53.27,32.03,1.0,M
2020-05-25 15:55:00,93942.55,52.89,32.19,1.0,M
2020-05-25 16:00:00,93939.78,52.72,32.34,1.0,M
2020-05-25 16:05:00,93933.44,51.94,32.37,1.0,M
2020-05-25 16:10:00,93928.27,51.36,32.39,1.0,M
2020-05-25 16:15:00,93909.48,50.79,32.28,1.0,M
2020-05-25 16:20:00,93908.73,50.41,32.22,1.0,M
2020-05-25 16:25:00,93907.78,50.47,32.15,1.0,M
2020-05-25 16:30:00,93903.37,50.77,32.17,1.0,M
2020-05-25 16:35:00,93906.14,49.95,32.12,1.0,M
2020-05-25 16:40:00,93901.34,50.25,32.12,1.0,M
2020-05-25 16:45:00,93894.27,49.89,32.18,1.0,M
2020-05-25 16:50:00,93883.44,49.07,32.12,1.0,M
2020-05-25 16:55:00,93883.77,50.25,32.21,1.0,M
2020-05-25 17:00:00,93884.3,49.21,32.24,1.0,M
2020-05-25 17:05:00,93872.94,48.27,32.28,1.0,M
2020-05-25 17:10:00,93877.52,48.57,32.31,1.0,L
2020-05-25 17:15:00,93864.87,47.7,32.2,1.0,L
2020-05-25 17:20:00,93860.72,48.99,32.22,1.0,L
2020-05-25 17:25:00,93860.22,48.12,32.39,1.0,L
2020-05-25 17:30:00,93857.71,46.45,32.3,1.0,L
2020-05-25 17:35:00,93845.73,45.53,32.32,1.0,L
2020-05-25 17:40:00,93843.51,45.4,32.42,1.0,L
2020-05-25 17:45:00,93839.81,45.0,32.14,1.0,L
2020-05-25 17:50:00,93840.57,46.29,31.9,1.0,L
2020-05-25 17:55:00,93830.9,46.63,31.93,1.0,L
2020-05-25 18:00:00,93823.66,46.15,31.91,1.0,L
2020-05-25 18:05:00,93816.88,46.3,31.86,1.0,L
2020-05-25 18:10:00,93806.07,46.56,31.96,1.0,L
2020-05-25 18:15:00,93802.05,47.1,32.11,1.0,L
2020-05-25 18:20:00,93808.86,47.73,32.15,1.0,L
2020-05-25 18:25:00,93794.77,48.09,32.23,1.0,L
2020-05-25 18:30:00,93791.29,47.88,32.24,1.0,L
2020-05-25 18:35:00,93784.03,48.24,32.29,1.0,L
2020-05-25 18:40:00,93789.69,48.21,32.33,1.0,L
2020-05-25 18:45:00,93786.16,49.11,32.35,1.0,L
2020-05-25 18:50:00,93774.83,48.27,32.37,1.0,M
2020-05-25 18:55:00,93776.75,48.31,32.41,1.0,M
2020-05-25 19:00:00,93780.16,48.35,32.44,1.0,M
2020-05-25 19:05:00,93773.05,48.56,32.42,1.0,M
2020-05-25 19:10:00,93756.67,49.07,32.49,1.0,M
2020-05-25 19:15:00,93744.0,48.99,32.49,1.0,M
2020-05-25 19:20:00,93745.98,47.73,32.52,1.0,L
2020-05-25 19:25:00,93758.2,46.08,32.47,1.0,L
2020-05-25 19:30:00,93746.0,45.16,32.51,1.0,M
2020-05-25 19:35:00,93767.39,45.08,32.55,1.0,M
2020-05-25 19:40:00,93779.27,44.5,32.54,1.0,L
2020-05-25 19:45:00,93777.72,45.74,32.66,1.0,L
2020-05-25 19:50:00,93791.69,43.72,32.63,1.0,L
2020-05-25 19:55:00,93794.75,43.07,32.53,1.0,L
2020-05-25 20:00:00,93810.73,43.22,32.59,1.0,L
2020-05-25 20:05:00,93812.64,43.12,32.71,1.0,L
2020-05-25 20:10:00,93823.89,43.84,32.64,1.0,L
2020-05-25 20:15:00,93837.38,41.77,32.48,1.0,L
2020-05-25 20:20:00,93848.19,42.57,32.5,1.0,L
2020-05-25 20:25:00,93865.52,45.34,32.53,1.0,L
2020-05-25 20:30:00,93880.42,45.42,32.57,1.0,M
2020-05-25 20:35:00,93893.58,44.48,32.51,1.0,M
2020-05-25 20:40:00,93908.17,45.84,32.55,1.0,L
2020-05-25 20:45:00,93917.59,44.95,32.52,1.0,L
2020-05-25 20:50:00,93920.41,46.44,32.48,0.0,L
2020-05-25 20:55:00,93930.78,48.32,32.57,0.0,L
2020-05-25 21:00:00,93953.27,46.49,32.59,0.0,L
2020-05-25 21:05:00,93966.19,48.64,32.54,0.0,L
2020-05-25 21:10:00,93979.36,49.57,32.49,0.0,L
2020-05-25 21:15:00,93990.39,49.88,32.41,0.0,L
2020-05-25 21:20:00,94000.14,50.17,32.49,0.0,L
2020-05-25 21:25:00,94028.22,50.0,32.44,0.0,L
2020-05-25 21:30:00,94048.36,50.02,32.43,0.0,L
2020-05-25 21:35:00,94043.45,50.4,32.34,0.0,L
2020-05-25 21:40:00,94053.45,49.27,32.46,0.0,L
2020-05-25 21:45:00,94053.71,48.75,32.4,0.0,L
2020-05-25 21:50:00,94041.5,48.78,32.36,1.0,L
2020-05-25 21:55:00,94046.26,49.41,32.12,1.0,L
2020-05-25 22:00:00,94050.34,49.58,32.1,1.0,L
2020-05-25 22:05:00,94034.38,50.19,31.92,1.0,L
2020-05-25 22:10:00,94014.56,50.9,31.97,1.0,L
2020-05-25 22:15:00,94007.97,51.81,31.97,1.0,L
2020-05-25 22:20:00,93992.27,51.92,31.97,1.0,L
2020-05-25 22:25:00,94009.22,52.03,31.92,1.0,L
2020-05-25 22:30:00,94046.63,52.59,31.72,1.0,L
2020-05-25 22:35:00,94072.05,52.53,31.44,1.0,L
2020-05-25 22:40:00,94108.42,51.68,31.69,1.0,L
2020-05-25 22:45:00,94122.09,51.7,31.96,1.0,L
2020-05-25 22:50:00,94125.89,51.44,32.16,1.0,L
2020-05-25 22:55:00,94147.36,51.61,32.32,1.0,L
2020-05-25 23:00:00,94149.01,51.54,32.27,1.0,L
2020-05-25 23:05:00,94142.07,51.18,32.32,1.0,L
2020-05-25 23:10:00,94143.05,51.61,32.38,1.0,L
2020-05-25 23:15:00,94139.91,51.04,32.49,1.0,L
2020-05-25 23:20:00,94135.99,50.27,32.52,1.0,M
2020-05-25 23:25:00,94149.31,52.94,33.2,1.0,M
2020-05-25 23:30:00,94172.13,50.71,32.71,1.0,M
2020-05-25 23:35:00,94183.84,51.56,32.51,1.0,M
2020-05-25 23:40:00,94206.61,51.22,32.39,1.0,H
2020-05-25 23:45:00,94224.65,51.71,32.26,1.0,H
2020-05-25 23:50:00,94248.3,50.64,31.82,1.0,H
2020-05-25 23:55:00,94295.53,51.53,31.32,1.0,H
2020-05-26 00:00:00,94309.47,51.66,31.58,1.0,M
2020-05-26 00:05:00,94316.07,52.78,31.43,1.0,M
2020-05-26 00:10:00,94336.45,53.73,31.36,1.0,M
2020-05-26 00:15:00,94349.1,55.19,31.16,1.0,M
2020-05-26 00:20:00,94346.44,55.6,31.38,1.0,M
2020-05-26 00:25:00,94332.58,55.04,31.55,1.0,M
2020-05-26 00:30:00,94337.16,53.96,31.73,1.0,L
2020-05-26 00:35:00,94340.7,52.61,31.7,1.0,L
2020-05-26 00:40:00,94357.89,52.42,31.81,1.0,L
2020-05-26 00:45:00,94349.52,50.16,31.87,1.0,L
2020-05-26 00:50:00,94366.91,48.38,31.66,1.0,L
2020-05-26 00:55:00,94389.0,49.52,31.81,1.0,L
2020-05-26 01:00:00,94405.7,48.32,31.7,0.0,L
2020-05-26 01:05:00,94404.59,47.21,31.55,0.0,L
2020-05-26 01:10:00,94404.55,48.79,31.68,0.0,L
2020-05-26 01:15:00,94387.84,47.22,31.53,0.0,L
2020-05-26 01:20:00,94370.63,48.34,31.81,0.0,L
2020-05-26 01:25:00,94354.16,47.88,31.76,0.0,L
2020-05-26 01:30:00,94347.17,48.02,31.77,0.0,L
2020-05-26 01:35:00,94335.88,47.99,31.96,0.0,L
2020-05-26 01:40:00,94325.86,46.52,31.64,0.0,L
2020-05-26 01:45:00,94307.66,47.83,31.78,0.0,L
2020-05-26 01:50:00,94292.17,45.6,31.95,0.0,L
2020-05-26 01:55:00,94285.56,47.81,31.82,0.0,L
2020-05-26 02:00:00,94256.95,51.38,31.66,0.0,L
2020-05-26 02:05:00,94270.94,52.86,31.39,0.0,L
2020-05-26 02:10:00,94269.66,53.23,31.35,0.0,L
2020-05-26 02:15:00,94257.2,52.42,31.4,0.0,L
2020-05-26 02:20:00,94259.59,54.49,30.85,0.0,L
2020-05-26 02:25:00,94247.92,54.53,30.87,0.0,L
2020-05-26 02:30:00,94222.66,55.16,30.55,0.0,L
2020-05-26 02:35:00,94210.61,55.24,30.53,0.0,L
2020-05-26 02:40:00,94209.63,55.41,30.42,0.0,L
2020-05-26 02:45:00,94202.72,56.02,30.13,0.0,L
2020-05-26 02:50:00,94202.96,55.55,30.16,0.0,L
2020-05-26 02:55:00,94211.51,55.72,29.94,0.0,L
2020-05-26 03:00:00,94211.99,55.45,29.93,0.0,L
2020-05-26 03:05:00,94236.56,55.55,29.92,0.0,L
2020-05-26 03:10:00,94251.85,54.81,30.19,0.0,L
2020-05-26 03:15:00,94271.45,53.46,30.43,0.0,L
2020-05-26 03:20:00,94278.3,54.43,30.39,0.0,L
2020-05-26 03:25:00,94284.8,54.11,30.5,0.0,L
2020-05-26 03:30:00,94298.43,54.65,30.4,0.0,L
2020-05-26 03:35:00,94304.11,54.07,30.55,0.0,L
2020-05-26 03:40:00,94323.86,52.11,30.7,0.0,L
2020-05-26 03:45:00,94338.27,51.32,30.76,0.0,L
2020-05-26 03:50:00,94353.81,49.56,30.78,0.0,L
2020-05-26 03:55:00,94361.91,50.16,30.82,0.0,L
2020-05-26 04:00:00,94378.1,49.02,30.85,0.0,L
2020-05-26 04:05:00,94391.41,50.97,30.41,0.0,L
2020-05-26 04:10:00,94417.39,49.09,30.67,0.0,L
2020-05-26 04:15:00,94426.31,49.46,30.73,0.0,L
2020-05-26 04:20:00,94427.23,50.88,30.28,0.0,L
2020-05-26 04:25:00,94435.47,51.77,29.98,0.0,L
2020-05-26 04:30:00,94448.3,51.18,30.19,0.0,L
2020-05-26 04:35:00,94463.83,49.71,30.28,0.0,L
2020-05-26 04:40:00,94482.5,49.25,30.49,0.0,L
2020-05-26 04:45:00,94508.66,49.62,30.37,0.0,L
2020-05-26 04:50:00,94523.4,50.48,30.14,0.0,L
2020-05-26 04:55:00,94523.68,50.87,29.98,0.0,L
2020-05-26 05:00:00,94527.09,50.89,29.98,0.0,L
2020-05-26 05:05:00,94520.76,51.32,29.73,0.0,L
2020-05-26 05:10:00,94528.2,51.59,29.59,0.0,L
2020-05-26 05:15:00,94539.45,51.32,29.79,0.0,L
2020-05-26 05:20:00,94550.24,52.93,29.34,0.0,L
2020-05-26 05:25:00,94543.72,53.05,29.55,0.0,L
2020-05-26 05:30:00,94547.06,55.09,29.24,0.0,L
2020-05-26 05:35:00,94556.97,56.96,28.94,0.0,L
2020-05-26 05:40:00,94550.48,57.51,28.68,0.0,L
2020-05-26 05:45:00,94539.26,56.51,28.92,0.0,L
2020-05-26 05:50:00,94528.0,56.54,28.83,0.0,L
2020-05-26 05:55:00,94525.16,56.01,28.94,0.0,L
2020-05-26 06:00:00,94532.76,55.92,28.84,0.0,L
2020-05-26 06:05:00,94521.23,55.97,28.69,0.0,L
2020-05-26 06:10:00,94520.02,56.25,28.55,0.0,L
2020-05-26 06:15:00,94530.83,57.18,28.2,0.0,L
2020-05-26 06:20:00,94538.03,56.9,28.37,0.0,L
2020-05-26 06:25:00,94555.36,56.66,28.49,0.0,L
2020-05-26 06:30:00,94566.92,55.9,28.55,0.0,L
2020-05-26 06:35:00,94575.96,55.57,28.71,0.0,L
2020-05-26 06:40:00,94586.3,55.09,29.01,0.0,L
2020-05-26 06:45:00,94606.98,54.27,29.33,0.0,L
2020-05-26 06:50:00,94615.31,53.62,29.57,0.0,L
2020-05-26 06:55:00,94624.28,53.97,29.38,0.0,L
2020-05-26 10:50:00,94878.3,72.47,26.84,1.0,L
2020-05-26 10:55:00,94879.73,71.91,26.97,1.0,L
2020-05-26 11:00:00,94876.63,71.4,26.99,1.0,L
2020-05-26 11:05:00,94872.67,70.37,27.3,1.0,L
2020-05-26 11:10:00,94877.5,70.19,27.39,1.0,L
2020-05-26 11:15:00,94880.13,70.13,27.38,1.0,L
2020-05-26 11:20:00,94884.25,70.84,27.15,1.0,L
2020-05-26 11:25:00,94883.14,69.93,27.39,1.0,L
2020-05-26 11:30:00,94890.11,68.31,27.73,1.0,L
2020-05-26 23:35:00,94842.56,63.26,27.21,0.0,E
2020-05-26 23:40:00,94847.53,61.8,28.03,0.0,E
2020-05-26 23:45:00,94851.3,59.71,28.53,0.0,E
2020-05-26 23:50:00,94844.75,59.19,28.63,0.0,E
2020-05-26 23:55:00,94852.55,59.18,28.65,0.0,E
2020-05-27 00:00:00,94857.58,59.15,28.62,0.0,E
2020-05-27 00:05:00,94856.96,59.22,28.64,0.0,E
2020-05-27 00:10:00,94864.25,59.48,28.6,0.0,E
2020-05-27 00:15:00,94867.55,59.85,28.54,0.0,E
2020-05-27 00:20:00,94869.53,59.96,28.53,0.0,E
2020-05-27 00:25:00,94869.44,59.87,28.55,0.0,E
2020-05-27 00:30:00,94866.23,59.96,28.52,0.0,E
2020-05-27 00:35:00,94864.91,59.76,28.53,0.0,E
2020-05-27 00:40:00,94861.66,59.59,28.55,0.0,E
2020-05-27 00:45:00,94868.36,59.63,28.53,0.0,E
2020-05-27 00:50:00,94874.17,59.82,28.47,0.0,E
2020-05-27 00:55:00,94876.04,59.86,28.48,0.0,E
2020-05-27 01:00:00,94874.06,59.76,28.44,0.0,E
